,tconst,pTitle,Year,runtimeMinutes,numVotes,wiki_key,Runtime_minutes,action,adventure,animation,biographical,comedy,crime,drama,documentary,fantasy,historical,horror,musical,mystery,romance,science_fiction,sport,thriller,war,western,academy_award,bafta,United_States,India,United_Kingdom,Canada,English,French,Japanese,Italian,Spanish,Budget,Budget_cleaned,Box_office,Box_office_cleaned,profit_pc,missing_finances
139,tt0028355,theodora goes wild,1936,94,2458.0,Theodora_Goes_Wild,94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,"""$1.1 million [1]""",1100000.0,0.0,1
140,tt0028356,these three,1936,93,2627.0,These_Three,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
141,tt0028575,angel,1937,91,2698.0,Angel_(1937_film),91,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
142,tt0028683,camille,1936,109,7823.0,Camille_(1936_film),109,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"""$1,486,000[1][2]""",1486000.0,"""$2,842,000[2]""",2842000.0,91.25168236877523,0
143,tt0028708,charlie chan at the olympics,1937,71,,Charlie_Chan_at_the_Olympics,71,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
144,tt0028737,confession,1937,87,1201.0,Confession_(1937_film),87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"""$500,000 (est.)[1]""",500000.0,,0.0,0.0,1
145,tt0028772,a day at the races,1937,111,13606.0,A_Day_at_the_Races_(film),109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"""$2,016,000[1]""",2016000.0,"""$2,305,000[1]""",2305000.0,14.335317460317466,0
146,tt0028773,dead end,1937,93,,Dead_End_(1937_film),93,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"""$900,000 (est)""",900000.0,,0.0,0.0,1
147,tt0028816,easy living,1937,88,3417.0,Easy_Living_(1937_film),88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0.0,,0.0,0.0,1
148,tt0028944,the good earth,1937,138,4801.0,The_Good_Earth_(film),138,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,"""$2,816,000[2]""",2816000.0,"""$3,557,000[2]""",3557000.0,26.31392045454546,0
